Close,SMA14,SMA50,SMA14IND,SMA50IND,Bulls,CCI,DM,OSMA,RSI,Stoch,Decision
1.56079,1.57165,1.56617,0.00002,0.00006,0.0005,-60,-0.1,-0.0005,-10,0,STRONGSELL
1.56482,1.57112,1.56617,-0.00053,0.00001,0.0005,60,0,0,10,20,STRONGSELL
1.56207,1.57068,1.56638,-0.00044,0.00021,-0.0005,-20,0,0,0,10,STRONGSELL
1.54818,1.57023,1.56647,-0.00046,0.00009,0,-100,-0.1,-0.001,-10,-10,STRONGSELL
1.54361,1.56908,1.56625,-0.00115,-0.00022,-0.01075,0,-0.2,-0.00079,-10,-20,SELL
1.54013,1.56656,1.56588,-0.00251,-0.00037,-0.005,20,0,-0.00071,0,-10,STRONGBUY
1.53807,1.56383,1.56550,-0.00273,-0.00038,0.005,20,0,0,0,0,STRONGBUY
1.54163,1.56108,1.56507,-0.00276,-0.00043,0,60,0,0,10,10,STRONGBUY
1.54561,1.55858,1.56463,-0.00250,-0.00044,0.00675,20,0.1,0.001,0,10,WAIT
1.54725,1.55638,1.56439,-0.00220,-0.00024,0.001,19.95,0,0.001,0,30,SELL
1.54884,1.55429,1.56409,-0.00209,-0.00030,0.0015,20.05,0,0.001,10,30,WAIT
1.54564,1.55292,1.56368,-0.00137,-0.00041,0.0015,-20.05,0,0.0005,-10,0,BUY
1.54569,1.55131,1.56317,-0.00160,-0.00051,0.0015,20.05,0.1,0.0005,0,-10,BUY
1.54847,1.54995,1.56272,-0.00137,-0.00045,0.001,20,0,0.001,10,-10,BUY
1.54695,1.54863,1.56233,-0.00132,-0.00039,0.0015,0,0,0,0,-10,STRONGBUY
1.54812,1.54764,1.56190,-0.00099,-0.00043,-0.0025,40,0,0.0005,0,0,STRONGSELL
1.55118,1.54645,1.56164,-0.00119,-0.00026,0.0025,100,0.1,0,0,0,STRONGSELL
1.55179,1.54567,1.56147,-0.00078,-0.00017,0.00146,0,0.1,0.0005,0,20,STRONGSELL
1.54119,1.54593,1.56131,0.00026,-0.00016,0.00504,-220,0,-0.0005,-10,-30,BUY
1.54419,1.54575,1.56085,-0.00017,-0.00046,-0.012,39.95,0.1,-0.0005,10,-10,BUY
1.54353,1.54604,1.56049,0.00029,-0.00036,0.003,-19.95,0.1,0,-10,-20,BUY
1.54346,1.54643,1.56016,0.00039,-0.00033,-0.0015,-20,0,-0.0005,0,10,BUY
1.5453,1.54657,1.55983,0.00013,-0.00033,0.0005,60,-0.1,0,10,0,SELL
1.54534,1.54654,1.55937,-0.00002,-0.00046,0.001,0,0,0.0005,0,10,STRONGSELL
1.5454,1.54641,1.55889,-0.00014,-0.00048,0.0015,0,0,0,0,20,STRONGSELL
1.54292,1.54616,1.55843,-0.00025,-0.00046,-0.0015,-60,0,-0.0005,-10,10,STRONGSELL
1.54103,1.54597,1.55788,-0.00019,-0.00054,0.002,-20,0,0,0,-30,STRONGSELL
